Ward,Precinct,Total Votes,Pritzker,JBP%,Rauner,BR%,Jackson,GKJ%,McCann,SM%,Registered_Voters,Ballots Cast,Turnout %
47,11,608.00,464.00,76.32,121.00,19.90,18.00,2.96,5.00,0.82,779.00,618.00,79.33
47,12,651.00,530.00,81.41,111.00,17.05,9.00,1.38,1.00,0.15,802.00,660.00,82.29
47,13,585.00,481.00,82.22,74.00,12.65,21.00,3.59,9.00,1.54,759.00,586.00,77.21
47,14,553.00,430.00,77.76,104.00,18.81,13.00,2.35,6.00,1.08,681.00,554.00,81.35
47,15,728.00,656.00,90.11,56.00,7.69,12.00,1.65,4.00,0.55,903.00,745.00,82.50
47,16,596.00,477.00,80.03,102.00,17.11,12.00,2.01,5.00,0.84,782.00,604.00,77.24
47,17,595.00,465.00,78.15,112.00,18.82,14.00,2.35,4.00,0.67,796.00,606.00,76.13
47,18,592.00,473.00,79.90,104.00,17.57,10.00,1.69,5.00,0.84,751.00,622.00,82.82
47,19,760.00,689.00,90.66,53.00,6.97,16.00,2.11,2.00,0.26,959.00,776.00,80.92
47,20,568.00,476.00,83.80,73.00,12.85,16.00,2.82,3.00,0.53,730.00,574.00,78.63
47,21,580.00,490.00,84.48,75.00,12.93,9.00,1.55,6.00,1.03,764.00,584.00,76.44
47,22,624.00,497.00,79.65,103.00,16.51,18.00,2.88,6.00,0.96,774.00,636.00,82.17
47,23,670.00,598.00,89.25,54.00,8.06,15.00,2.24,3.00,0.45,824.00,675.00,81.92
47,24,633.00,504.00,79.62,109.00,17.22,18.00,2.84,2.00,0.32,807.00,642.00,79.55
47,25,722.00,586.00,81.16,109.00,15.10,23.00,3.19,4.00,0.55,978.00,726.00,74.23
47,26,780.00,690.00,88.46,71.00,9.10,14.00,1.79,5.00,0.64,964.00,792.00,82.16
47,27,570.00,446.00,78.25,102.00,17.89,16.00,2.81,6.00,1.05,700.00,577.00,82.43
47,28,561.00,437.00,77.90,108.00,19.25,10.00,1.78,6.00,1.07,740.00,571.00,77.16
47,29,668.00,541.00,80.99,113.00,16.92,10.00,1.50,4.00,0.60,836.00,675.00,80.74
47,30,733.00,623.00,84.99,80.00,10.91,24.00,3.27,6.00,0.82,910.00,752.00,82.64
47,31,603.00,514.00,85.24,68.00,11.28,14.00,2.32,7.00,1.16,744.00,609.00,81.85
47,32,732.00,619.00,84.56,88.00,12.02,20.00,2.73,5.00,0.68,899.00,740.00,82.31
47,33,574.00,423.00,73.69,129.00,22.47,19.00,3.31,3.00,0.52,774.00,580.00,74.94
47,34,625.00,521.00,83.36,92.00,14.72,10.00,1.60,2.00,0.32,765.00,632.00,82.61
47,35,628.00,451.00,71.82,152.00,24.20,15.00,2.39,10.00,1.59,794.00,639.00,80.48
